frame.time_epoch,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,tcp.analysis.duplicate_ack,tcp.analysis.ack_rtt,tcp.window_size
1762830006.991686000,10.10.64.28,18748,10.10.216.21,443,0x00c2,0,0,0,,,,,8192
1762830006.991812000,10.10.216.21,443,10.10.64.28,18748,0x0012,0,1,0,,,,0.000126000,65500
1762830006.993039000,10.10.64.28,18748,10.10.216.21,443,0x0010,1,1,0,,,,0.001227000,132096
1762830006.993127000,10.10.64.28,18748,10.10.216.21,443,0x0018,1,1,517,,,,,132096
1762830006.993247000,10.10.216.21,443,10.10.64.28,18748,0x0010,1,518,0,,,,0.000120000,65024
1762830006.994892000,10.10.216.21,443,10.10.64.28,18748,0x0018,1,518,1288,,,,,65024
1762830007.001684000,10.10.64.28,18748,10.10.216.21,443,0x0018,518,1289,7,,,,0.006792000,130816
1762830007.001782000,10.10.64.28,18748,10.10.216.21,443,0x0011,525,1289,0,,,,,130816
1762830007.001851000,10.10.216.21,443,10.10.64.28,18748,0x0011,1289,526,0,,,,0.000069000,65024
1762830007.002378000,10.10.64.28,18748,10.10.216.21,443,0x0010,526,1290,0,,,,0.000527000,130816
1762830007.002992000,10.10.64.28,18749,10.10.216.21,443,0x00c2,0,0,0,,,,,8192
1762830007.003100000,10.10.216.21,443,10.10.64.28,18749,0x0012,0,1,0,,,,0.000108000,65500
1762830007.003814000,10.10.64.28,18749,10.10.216.21,443,0x0010,1,1,0,,,,0.000714000,132096
1762830007.004174000,10.10.64.28,18749,10.10.216.21,443,0x0018,1,1,517,,,,,132096
1762830007.004232000,10.10.216.21,443,10.10.64.28,18749,0x0010,1,518,0,,,,0.000058000,65024
1762830007.005763000,10.10.216.21,443,10.10.64.28,18749,0x0018,1,518,1288,,,,,65024
1762830007.007080000,10.10.64.28,18749,10.10.216.21,443,0x0018,518,1289,93,,,,0.001317000,130816
1762830007.007216000,10.10.64.28,18749,10.10.216.21,443,0x0018,611,1289,679,,,,,130816
1762830007.007410000,10.10.216.21,443,10.10.64.28,18749,0x0018,1289,1290,258,,,,0.000194000,64256
1762830007.018171000,10.10.216.21,443,10.10.64.28,18749,0x0018,1547,1290,1746,,,,,64256
1762830007.018732000,10.10.64.28,18749,10.10.216.21,443,0x0010,1290,3293,0,,,,0.000561000,132096
1762830007.028739000,10.10.64.28,18749,10.10.216.21,443,0x0018,1290,3293,648,,,,,132096
1762830007.029689000,10.10.64.28,18750,10.10.216.21,443,0x00c2,0,0,0,,,,,8192
1762830007.029803000,10.10.216.21,443,10.10.64.28,18750,0x0012,0,1,0,,,,0.000114000,65500
1762830007.030508000,10.10.64.28,18750,10.10.216.21,443,0x0010,1,1,0,,,,0.000705000,132096
1762830007.030555000,10.10.64.28,18751,10.10.216.21,443,0x00c2,0,0,0,,,,,8192
1762830007.030715000,10.10.216.21,443,10.10.64.28,18751,0x0012,0,1,0,,,,0.000160000,65500
1762830007.030824000,10.10.64.28,18752,10.10.216.21,443,0x00c2,0,0,0,,,,,8192
1762830007.030907000,10.10.216.21,443,10.10.64.28,18752,0x0012,0,1,0,,,,0.000083000,65500
1762830007.031062000,10.10.64.28,18750,10.10.216.21,443,0x0018,1,1,517,,,,,132096
1762830007.031140000,10.10.216.21,443,10.10.64.28,18750,0x0010,1,518,0,,,,0.000078000,65024
1762830007.031284000,10.10.64.28,18751,10.10.216.21,443,0x0010,1,1,0,,,,0.000569000,132096
1762830007.031354000,10.10.216.21,443,10.10.64.28,18750,0x0018,1,518,156,,,,,65024
1762830007.031560000,10.10.64.28,18752,10.10.216.21,443,0x0010,1,1,0,,,,0.000653000,132096
1762830007.031676000,10.10.64.28,18751,10.10.216.21,443,0x0018,1,1,517,,,,,132096
1762830007.031713000,10.10.216.21,443,10.10.64.28,18751,0x0010,1,518,0,,,,0.000037000,65024
1762830007.031818000,10.10.64.28,18753,10.10.216.21,443,0x00c2,0,0,0,,,,,8192
1762830007.031824000,10.10.216.21,443,10.10.64.28,18751,0x0018,1,518,156,,,,,65024
1762830007.031877000,10.10.216.21,443,10.10.64.28,18753,0x0012,0,1,0,,,,0.000059000,65500
1762830007.031985000,10.10.64.28,18752,10.10.216.21,443,0x0018,1,1,517,,,,,132096
1762830007.032034000,10.10.216.21,443,10.10.64.28,18752,0x0010,1,518,0,,,,0.000049000,65024
1762830007.032065000,10.10.64.28,18750,10.10.216.21,443,0x0018,518,157,7,,,,0.000711000,132096
1762830007.032130000,10.10.64.28,18750,10.10.216.21,443,0x0011,525,157,0,,,,,132096
1762830007.032142000,10.10.216.21,443,10.10.64.28,18752,0x0018,1,518,156,,,,,65024
1762830007.032209000,10.10.216.21,443,10.10.64.28,18750,0x0011,157,526,0,,,,0.000079000,65024
1762830007.032361000,10.10.64.28,18751,10.10.216.21,443,0x0018,518,157,7,,,,0.000537000,132096
1762830007.032372000,10.10.64.28,18751,10.10.216.21,443,0x0011,525,157,0,,,,,132096
1762830007.032440000,10.10.216.21,443,10.10.64.28,18751,0x0011,157,526,0,,,,0.000068000,65024
1762830007.032460000,10.10.64.28,18753,10.10.216.21,443,0x0010,1,1,0,,,,0.000583000,132096
1762830007.032585000,10.10.64.28,18750,10.10.216.21,443,0x0010,526,158,0,,,,0.000376000,132096
1762830007.032712000,10.10.64.28,18753,10.10.216.21,443,0x0018,1,1,517,,,,,132096
1762830007.032778000,10.10.216.21,443,10.10.64.28,18753,0x0010,1,518,0,,,,0.000066000,65024
1762830007.032812000,10.10.64.28,18752,10.10.216.21,443,0x0018,518,157,7,,,,0.000670000,132096
1762830007.032821000,10.10.64.28,18751,10.10.216.21,443,0x0010,526,158,0,,,,0.000381000,132096
1762830007.032867000,10.10.216.21,443,10.10.64.28,18753,0x0018,1,518,156,,,,,65024
1762830007.032887000,10.10.64.28,18752,10.10.216.21,443,0x0011,525,157,0,,,,,132096
1762830007.032914000,10.10.216.21,443,10.10.64.28,18752,0x0011,157,526,0,,,,0.000027000,65024
1762830007.033359000,10.10.64.28,18752,10.10.216.21,443,0x0010,526,158,0,,,,0.000445000,132096
1762830007.033408000,10.10.64.28,18753,10.10.216.21,443,0x0018,518,157,7,,,,0.000541000,132096
1762830007.033464000,10.10.64.28,18753,10.10.216.21,443,0x0011,525,157,0,,,,,132096
1762830007.033471000,10.10.216.21,443,10.10.64.28,18753,0x0011,157,525,0,,,,0.000063000,65024
1762830007.033495000,10.10.216.21,443,10.10.64.28,18753,0x0010,158,526,0,,,,0.000031000,65024
1762830007.033829000,10.10.64.28,18753,10.10.216.21,443,0x0010,526,158,0,,,,0.000358000,132096
1762830007.037584000,10.10.64.28,18754,10.10.216.21,443,0x00c2,0,0,0,,,,,8192
1762830007.037727000,10.10.216.21,443,10.10.64.28,18754,0x0012,0,1,0,,,,0.000143000,65500
1762830007.038203000,10.10.64.28,18755,10.10.216.21,443,0x00c2,0,0,0,,,,,8192
1762830007.038272000,10.10.216.21,443,10.10.64.28,18755,0x0012,0,1,0,,,,0.000069000,65500
1762830007.038358000,10.10.64.28,18754,10.10.216.21,443,0x0010,1,1,0,,,,0.000631000,132096
1762830007.038491000,10.10.64.28,18756,10.10.216.21,443,0x00c2,0,0,0,,,,,8192
1762830007.038546000,10.10.216.21,443,10.10.64.28,18756,0x0012,0,1,0,,,,0.000055000,65500
1762830007.038674000,10.10.64.28,18757,10.10.216.21,443,0x00c2,0,0,0,,,,,8192
1762830007.038718000,10.10.216.21,443,10.10.64.28,18757,0x0012,0,1,0,,,,0.000044000,65500
1762830007.038741000,10.10.64.28,18754,10.10.216.21,443,0x0018,1,1,517,,,,,132096
1762830007.038787000,10.10.216.21,443,10.10.64.28,18754,0x0010,1,518,0,,,,0.000046000,65024
1762830007.038882000,10.10.64.28,18755,10.10.216.21,443,0x0010,1,1,0,,,,0.000610000,132096
1762830007.038992000,10.10.216.21,443,10.10.64.28,18754,0x0018,1,518,156,,,,,65024
1762830007.039197000,10.10.64.28,18755,10.10.216.21,443,0x0018,1,1,517,,,,,132096
1762830007.039254000,10.10.216.21,443,10.10.64.28,18755,0x0010,1,518,0,,,,0.000057000,65024
1762830007.039264000,10.10.64.28,18756,10.10.216.21,443,0x0010,1,1,0,,,,0.000718000,132096
1762830007.039328000,10.10.64.28,18757,10.10.216.21,443,0x0010,1,1,0,,,,0.000610000,132096
1762830007.039371000,10.10.216.21,443,10.10.64.28,18755,0x0018,1,518,156,,,,,65024
1762830007.039617000,10.10.64.28,18756,10.10.216.21,443,0x0018,1,1,517,,,,,132096
1762830007.039658000,10.10.216.21,443,10.10.64.28,18756,0x0010,1,518,0,,,,0.000041000,65024
1762830007.039769000,10.10.216.21,443,10.10.64.28,18756,0x0018,1,518,156,,,,,65024
1762830007.039917000,10.10.64.28,18757,10.10.216.21,443,0x0018,1,1,517,,,,,132096
1762830007.039971000,10.10.216.21,443,10.10.64.28,18757,0x0010,1,518,0,,,,0.000054000,65024
1762830007.040070000,10.10.216.21,443,10.10.64.28,18757,0x0018,1,518,156,,,,,65024
1762830007.040073000,10.10.64.28,18754,10.10.216.21,443,0x0018,518,157,51,,,,0.001081000,132096
1762830007.040194000,10.10.64.28,18755,10.10.216.21,443,0x0018,518,157,51,,,,0.000823000,132096
1762830007.040289000,10.10.64.28,18756,10.10.216.21,443,0x0018,518,157,51,,,,0.000520000,132096
1762830007.040505000,10.10.64.28,18754,10.10.216.21,443,0x0018,569,157,658,,,,,132096
1762830007.040538000,10.10.64.28,18755,10.10.216.21,443,0x0018,569,157,632,,,,,132096
1762830007.040554000,10.10.216.21,443,10.10.64.28,18754,0x0010,157,1227,0,,,,0.000049000,64384
1762830007.040617000,10.10.64.28,18756,10.10.216.21,443,0x0018,569,157,642,,,,,132096
1762830007.040725000,10.10.64.28,18757,10.10.216.21,443,0x0018,518,157,51,,,,0.000655000,132096
1762830007.040795000,10.10.64.28,18757,10.10.216.21,443,0x0018,569,157,630,,,,,132096
1762830007.040843000,10.10.216.21,443,10.10.64.28,18755,0x0010,157,1201,0,,,,0.000305000,64384
1762830007.040985000,10.10.216.21,443,10.10.64.28,18756,0x0010,157,1211,0,,,,0.000368000,64384
1762830007.041081000,10.10.216.21,443,10.10.64.28,18757,0x0010,157,1199,0,,,,0.000286000,64384
1762830007.042946000,10.10.216.21,443,10.10.64.28,18749,0x0010,3293,1938,6550,,,,0.014207000,64256
